filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./packages/ember-views/lib/system/jquery.js,55,5,3,js,2014-05-20,2015-01-26
./packages/ember-views/lib/system/sanitize_attribute_value.js,55,5,3,js,2014-12-15,2015-01-30
./packages/ember-views/lib/system/ext.js,12,13,10,js,2011-12-12,2014-08-23
./packages/ember-views/lib/system/action_manager.js,17,1,1,js,2014-08-08,2014-08-08
./packages/ember-views/lib/system/renderer.js,144,26,12,js,2014-06-03,2015-01-31
./packages/ember-views/lib/system/utils.js,55,16,14,js,2012-12-22,2014-12-30
./packages/ember-views/lib/system/event_dispatcher.js,246,53,25,js,2011-12-12,2015-01-26
./packages/ember-views/lib/main.js,96,33,10,js,2011-12-12,2015-02-01
./packages/ember-views/lib/streams/class_name_binding.js,142,4,3,js,2014-12-15,2015-01-01
./packages/ember-views/lib/streams/context_stream.js,46,3,2,js,2014-08-29,2015-01-26
./packages/ember-views/lib/streams/should_display.js,69,4,4,js,2014-12-19,2015-01-26
./packages/ember-views/lib/streams/utils.js,54,5,5,js,2014-11-27,2014-12-24
./packages/ember-views/lib/streams/key_stream.js,107,5,2,js,2014-08-29,2015-01-26
./packages/ember-views/lib/component_lookup.js,28,3,2,js,2014-11-12,2014-12-18
./packages/ember-metal-views/tests/test_helpers.js,137,12,6,js,2014-06-03,2015-01-26
./packages/ember-metal-views/tests/children_test.js,42,7,7,js,2014-06-03,2015-02-02
./packages/ember-metal-views/tests/main_test.js,142,9,8,js,2014-06-03,2015-02-02
./packages/ember-metal-views/tests/attributes_test.js,21,7,6,js,2014-06-03,2015-02-02
./packages/ember-metal-views/lib/renderer.js,303,18,11,js,2014-06-03,2015-02-01
./packages/ember-metal-views/lib/main.js,2,4,2,js,2014-06-03,2014-06-03
./packages/ember-testing/tests/adapters/qunit_test.js,51,6,4,js,2014-05-20,2015-02-02
./packages/ember-testing/tests/adapters/adapter_test.js,34,4,2,js,2014-05-20,2015-02-02
./packages/ember-testing/tests/helpers_test.js,972,66,24,js,2013-04-18,2015-02-02
./packages/ember-testing/tests/integration_test.js,124,16,6,js,2013-07-20,2015-02-02
./packages/ember-testing/tests/adapters_test.js,52,8,3,js,2013-06-18,2015-02-02
./packages/ember-testing/tests/simple_setup.js,15,5,2,js,2013-11-22,2014-08-23
./packages/ember-testing/tests/helper_registration_test.js,83,6,3,js,2013-11-20,2015-02-02
./packages/ember-testing/tests/acceptance_test.js,297,34,13,js,2013-04-26,2015-02-02
./packages/ember-testing/lib/adapters/adapter.js,59,3,3,js,2014-05-20,2014-11-01
./packages/ember-testing/lib/adapters/qunit.js,22,1,1,js,2014-05-20,2014-05-20
./packages/ember-testing/lib/support.js,59,10,6,js,2013-06-27,2015-01-02
./packages/ember-testing/lib/setup_for_testing.js,50,2,2,js,2014-05-20,2014-12-31
./packages/ember-testing/lib/test.js,522,43,16,js,2013-05-01,2015-01-26
./packages/ember-testing/lib/helpers.js,517,82,24,js,2013-04-18,2015-01-23
./packages/ember-testing/lib/main.js,23,10,4,js,2013-04-18,2014-05-20
./packages/ember-testing/lib/initializers.js,17,8,3,js,2013-11-03,2014-12-31
./packages/loader/lib/main.js,93,18,7,js,2012-11-23,2015-01-26
./packages/ember-runtime/tests/computed/reduce_computed_macros_test.js,1542,38,19,js,2013-08-27,2015-02-02
./packages/ember-runtime/tests/computed/reduce_computed_test.js,1036,41,12,js,2013-08-27,2015-02-02
./packages/ember-runtime/tests/computed/computed_macros_test.js,50,7,5,js,2014-01-23,2015-01-26
./packages/ember-runtime/tests/inject_test.js,67,8,3,js,2014-07-14,2015-02-02
./packages/ember-runtime/tests/core/is_empty_test.js,11,7,4,js,2013-03-05,2015-02-02
./packages/ember-runtime/tests/core/is_array_test.js,11,7,6,js,2013-03-07,2015-02-02
./packages/ember-runtime/tests/core/copy_test.js,25,11,6,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/core/type_test.js,20,13,6,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/core/compare_test.js,77,13,9,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/core/isEqual_test.js,38,11,7,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/sortable_test.js,381,25,14,js,2012-06-05,2015-02-02
./packages/ember-runtime/tests/mixins/deferred_test.js,367,23,10,js,2012-08-15,2015-02-02
./packages/ember-runtime/tests/mixins/mutable_enumerable_test.js,74,13,8,js,2011-12-12,2014-12-24
./packages/ember-runtime/tests/mixins/promise_proxy_test.js,266,21,9,js,2013-08-01,2015-02-02
./packages/ember-runtime/tests/mixins/action_handler_test.js,18,7,5,js,2013-11-16,2015-02-02
./packages/ember-runtime/tests/mixins/array_test.js,459,24,17,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/observable_test.js,100,17,11,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/comparable_test.js,39,9,5,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/target_action_support_test.js,180,16,11,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/enumerable_test.js,353,25,14,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/mixins/copyable_test.js,39,8,6,js,2011-12-12,2015-01-26
